Query,Expected Article (URL),Match Found,Rank (if found),Top Results (URLs),Top Result Titles
how to A/B test a survey,https://help.surveymonkey.com/en/surveymonkey/create/ab-tests/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/ab-tests/; https://help.surveymonkey.com/en/surveymonkey/solutions/concept-testing/; https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/; https://help.surveymonkey.com/en/getfeedback/integrations/ab-tasty-integration/; https://help.surveymonkey.com/en/getfeedback/channels/email-embed/; https://help.surveymonkey.com/en/surveymonkey/analyze/compare-rules/; https://help.surveymonkey.com/en/surveymonkey/create/survey-tips/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/getfeedback/channels/send-to-a-list/; https://help.surveymonkey.com/en/getfeedback/builder/preview-draft-mode/,"A/B Tests (Random Assignment); Creative and Concept Testing Solutions; Previewing, Testing, and Reviewing Surveys; AB Tasty Integration; One-touch Surveys; Comparing Survey Results; 5 Tips for Writing a Great Survey; SurveyMonkey Audience Design Guidelines; Email to a List; Preview and Draft Mode"
do you have a nonprofit discount,https://help.surveymonkey.com/en/surveymonkey/billing/discounts/,True,2.0,https://help.surveymonkey.com/en/wufoo/account/non-profit-discount/; https://help.surveymonkey.com/en/surveymonkey/billing/discounts/; https://help.surveymonkey.com/en/surveymonkey/solutions/surveymonkey-contribute/; https://help.surveymonkey.com/en/surveymonkey/teams/expert-services/; https://help.surveymonkey.com/en/surveymonkey/billing/taxes/; https://help.surveymonkey.com/en/wufoo/account/taxes-vat/; https://help.surveymonkey.com/en/surveymonkey/billing/surveymonkey-vendors/; https://help.surveymonkey.com/en/getfeedback/account/payment-options/; https://help.surveymonkey.com/en/wufoo/account/your-new-plan/; https://help.surveymonkey.com/en/surveymonkey/billing/surveymonkey-plans/,Wufoo Non-Profit Discount; Discounts; SurveyMonkey Contribute; Professional Services; Taxes on SurveyMonkey Purchases; Taxes on Wufoo Purchases; Setting Up SurveyMonkey as a Vendor; Payment Options; Your New Wufoo Plan; SurveyMonkey Plans
transfer survey to another account,https://help.surveymonkey.com/en/surveymonkey/manage/transferring-surveys/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/manage/transferring-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/sending-survey-copies/; https://help.surveymonkey.com/en/getfeedback/account/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/teams/manage-your-teams-surveys/; https://help.surveymonkey.com/en/surveymonkey/teams/account-control/; https://help.surveymonkey.com/en/apply/monitor/transfer-app-ownership/; https://help.surveymonkey.com/en/surveymonkey/create/copying-moving-questions/; https://help.surveymonkey.com/en/surveymonkey/account/surveymonkey-login-updates/; https://help.surveymonkey.com/en/surveymonkey/account/email-username-password/; https://help.surveymonkey.com/en/surveymonkey/teams/manage-enterprise/,Transferring Surveys to Another Account; Sending a Copy of a Survey to Another Account; Sharing and Transferring Surveys; Manage Your Team’s Surveys; Account Control; How to Transfer Ownership of an Application; Copying or Moving Questions; SurveyMonkey Login Updates; Your Login Details; Managing Seats on Your Enterprise Team
how to use AI to summarize responses,https://help.surveymonkey.com/en/surveymonkey/analyze/analyze-with-ai/,False,,https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-text-responses/; https://help.surveymonkey.com/en/surveymonkey/create/build-with-ai/; https://help.surveymonkey.com/en/surveymonkey/analyze/sentiment-analysis/; https://help.surveymonkey.com/en/surveymonkey/account/ai-feature-access/; https://help.surveymonkey.com/en/surveymonkey/analyze/thematic-analysis/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-results/; https://help.surveymonkey.com/en/surveymonkey/analyze/viewing-comments/; https://help.surveymonkey.com/en/surveymonkey/analyze/tagging-responses/; https://help.surveymonkey.com/en/surveymonkey/new/release-notes-november-2024/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/,Analyzing Text Responses; Build Surveys with AI; Sentiment Analysis; Managing AI Feature Access; Thematic Analysis; How to Analyze Results; Viewing a Specific Comment in the Analysis; Tagging Responses; Release Notes – November 2024; Viewing Individual Responses
make a quiz with right and wrong answers,https://help.surveymonkey.com/en/surveymonkey/create/quizzes/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/quizzes/; https://help.surveymonkey.com/en/surveymonkey/create/trap-questions/; https://help.surveymonkey.com/en/surveymonkey/create/multiple-choice/; https://help.surveymonkey.com/en/apply/build/ranking-question/; https://help.surveymonkey.com/en/surveymonkey/create/randomizing-answers/; https://help.surveymonkey.com/en/apply/build/checkbox-question/; https://help.surveymonkey.com/en/apply/build/dropdown-question/; https://help.surveymonkey.com/en/surveymonkey/create/dropdown/; https://help.surveymonkey.com/en/surveymonkey/create/editing-questions/; https://help.surveymonkey.com/en/surveymonkey/create/question-types/,"Quizzes; Trap Questions; Multiple Choice Question; Ranking Question; Sorting, Randomizing, or Flipping Answer Choices; Checkbox Question; Dropdown Question; Dropdown Question; Adding and Editing Questions; Question Types"
how to split traffic between two surveys,https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/transferring-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/sending-survey-copies/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-custom-balancing/; https://help.surveymonkey.com/en/getfeedback/account/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-additional-settings/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/getfeedback/channels/web-overlay/; https://help.surveymonkey.com/en/getfeedback/builder/resuming-incomplete-surveys/,Can I merge surveys or survey results?; Transferring Surveys to Another Account; Sending a Copy of a Survey to Another Account; SurveyMonkey Audience Custom Balancing; Sharing and Transferring Surveys; SurveyMonkey Audience: Additional Targeting Settings; Survey Takers Can’t Complete My Survey; Allowing Multiple Responses; Web Overlay Surveys (Modals); Resuming Incomplete Surveys
what is a web link collector,https://help.surveymonkey.com/en/surveymonkey/send/web-link-collector/,False,,https://help.surveymonkey.com/en/surveymonkey/send/recurring-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/social-media-collector/; https://help.surveymonkey.com/en/surveymonkey/send/custom-survey-links/; https://help.surveymonkey.com/en/surveymonkey/send/collector-options/; https://help.surveymonkey.com/en/surveymonkey/getting-started/sending-your-survey/; https://help.surveymonkey.com/en/wufoo/share/form-links/; https://help.surveymonkey.com/en/surveymonkey/send/custom-variables/; https://help.surveymonkey.com/en/surveymonkey/integrations/salesforce-link-encryption/; https://help.surveymonkey.com/en/surveymonkey/create/adding-hyperlinks/; https://help.surveymonkey.com/en/getfeedback/builder/your-survey-link/,Recurring Web Link Surveys; Share Your Survey on Social Media; Customizing Survey Links; Managing Survey Collector Options; Ways to Send Your Survey; Sharing a Link to Your Form; Custom Variables; SurveyMonkey for Salesforce: Web Link Encryption; Adding a Hyperlink; Your Survey Link
how to test a survey before going live,https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/; https://help.surveymonkey.com/en/getfeedback/builder/preview-draft-mode/; https://help.surveymonkey.com/en/apply/getting-started/site-checklist/; https://help.surveymonkey.com/en/getfeedback/programs/kiosk-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/survey-tips/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/getfeedback/channels/send-to-a-list/; https://help.surveymonkey.com/en/getfeedback/channels/web-overlay/; https://help.surveymonkey.com/en/surveymonkey/create/survey-introduction/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/,"Previewing, Testing, and Reviewing Surveys; Preview and Draft Mode; New Site Checklist; Kiosk Surveys; 5 Tips for Writing a Great Survey; Survey Takers Can’t Complete My Survey; Email to a List; Web Overlay Surveys (Modals); Survey Introductions; SurveyMonkey Audience Design Guidelines"
enable verification on survey,https://help.surveymonkey.com/en/surveymonkey/send/sender-email-address/,True,7.0,https://help.surveymonkey.com/en/surveymonkey/getting-started/saved-devices/; https://help.surveymonkey.com/en/surveymonkey/send/confirmation-email/; https://help.surveymonkey.com/en/surveymonkey/site/supported-browsers/; https://help.surveymonkey.com/en/surveymonkey/policy/irb-guidelines/; https://help.surveymonkey.com/en/getfeedback/channels/web-overlay/; https://help.surveymonkey.com/en/surveymonkey/getting-started/logging-in/; https://help.surveymonkey.com/en/surveymonkey/send/sender-email-address/; https://help.surveymonkey.com/en/surveymonkey/create/required-questions/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/teams/single-sign-on/,Device Registration; Sending Confirmation Emails; Supported Browsers; SurveyMonkey and IRB Guidelines; Web Overlay Surveys (Modals); Logging in to Your Account; Sender Email Address & Verification; Making Survey Questions Required; Survey Takers Can’t Complete My Survey; Single Sign-On (SSO)
view summary of all survey answers,https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/analyze/viewing-comments/; https://help.surveymonkey.com/en/surveymonkey/analyze/exporting-individual-questions/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-results/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/; https://help.surveymonkey.com/en/getfeedback/insights/responses-explorer/; https://help.surveymonkey.com/en/surveymonkey/analyze/xls-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/export-examples/; https://help.surveymonkey.com/en/surveymonkey/analyze/spss-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/skipped-questions/,Viewing Your Survey Summary; Viewing a Specific Comment in the Analysis; Exporting an Individual Question; How to Analyze Results; Viewing Individual Responses; Responses Explorer; XLS (Excel) Exports; Export Examples; SPSS Exports; Excluding Respondents who Skipped Questions
is SurveyMonkey HIPAA compliant,https://help.surveymonkey.com/en/surveymonkey/policy/hipaa/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/policy/hipaa/; https://help.surveymonkey.com/en/surveymonkey/policy/irb-guidelines/; https://help.surveymonkey.com/en/surveymonkey/policy/collecting-sensitive-information/; https://help.surveymonkey.com/en/surveymonkey/policy/data-collection-privacy/; https://help.surveymonkey.com/en/surveymonkey/policy/citing-surveymonkey/; https://help.surveymonkey.com/en/surveymonkey/create/consent-statements-privacy-notices/; https://help.surveymonkey.com/en/surveymonkey/policy/data-processing-agreements-eu/; https://help.surveymonkey.com/en/surveymonkey/policy/privacy-rights/; https://help.surveymonkey.com/en/surveymonkey/policy/audience-policies/; https://help.surveymonkey.com/en/surveymonkey/policy/export-control-policy/,"HIPAA Compliance and SurveyMonkey; SurveyMonkey and IRB Guidelines; Can I ask for credit card details, SSNs, or other personal information?; Data Collection and Privacy Best Practices; Citing SurveyMonkey or SurveyMonkey Audience; Adding a Consent Statement or Privacy Notice; Data Processing Agreements, Storage, and Transfers (EU); SurveyMonkey and Privacy Rights; SurveyMonkey Audience Policies; Export Control Policy"
where is my survey data stored,https://help.surveymonkey.com/en/surveymonkey/policy/surveymonkey-data/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/policy/surveymonkey-data/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/surveymonkey/analyze/finding-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/xls-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/spss-exports/; https://help.surveymonkey.com/en/surveymonkey/policy/data-processing-agreements-eu/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/site/anywhere-faq/; https://help.surveymonkey.com/en/surveymonkey/policy/data-collection-privacy/; https://help.surveymonkey.com/en/surveymonkey/send/response-recording/,"Your SurveyMonkey Data; Managing Your Surveys; Where do my exports go after I download them?; XLS (Excel) Exports; SPSS Exports; Data Processing Agreements, Storage, and Transfers (EU); Viewing Your Survey Summary; SurveyMonkey Anywhere FAQs; Data Collection and Privacy Best Practices; How do I know my responses were recorded?"
can I set survey questions as required,https://help.surveymonkey.com/en/surveymonkey/create/required-questions/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/required-questions/; https://help.surveymonkey.com/en/surveymonkey/create/limiting-answer-choices-2/; https://help.surveymonkey.com/en/surveymonkey/create/question-types/; https://help.surveymonkey.com/en/surveymonkey/policy/collecting-sensitive-information/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/send/can-i-time-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/question-size-layout/; https://help.surveymonkey.com/en/surveymonkey/create/editing-questions/; https://help.surveymonkey.com/en/surveymonkey/create/answering-multiple-times/; https://help.surveymonkey.com/en/apply/build/question-types/,"Making Survey Questions Required; Can I limit the number of answer choices a respondent can select?; Question Types; Can I ask for credit card details, SSNs, or other personal information?; SurveyMonkey Audience Design Guidelines; Can I time surveys?; Changing the Question Size and Layout; Adding and Editing Questions; Can a respondent fill out the same question or page multiple times?; Form Question Types: Overview"
how do I change the survey title or URL,https://help.surveymonkey.com/en/surveymonkey/create/survey-title/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/survey-title/; https://help.surveymonkey.com/en/surveymonkey/send/custom-survey-links/; https://help.surveymonkey.com/en/surveymonkey/create/page-question-titles/; https://help.surveymonkey.com/en/getfeedback/builder/custom-survey-links/; https://help.surveymonkey.com/en/surveymonkey/teams/custom-css/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/surveymonkey/create/adding-hyperlinks/; https://help.surveymonkey.com/en/surveymonkey/send/thumbnail-image-text/; https://help.surveymonkey.com/en/surveymonkey/create/adding-logos/; https://help.surveymonkey.com/en/surveymonkey/create/surveymonkey-footer/,Changing the Survey Title; Customizing Survey Links; Page Titles & Page Descriptions; Custom Survey Links and Domains; Use CSS to Style Your Survey; Branding Your Survey; Adding a Hyperlink; Thumbnail Image & Text; Adding or Editing a Logo to Your Survey Design; Changing the SurveyMonkey Footer
can I merge results from multiple collectors,https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/collector-options/; https://help.surveymonkey.com/en/surveymonkey/getting-started/sending-your-survey/; https://help.surveymonkey.com/en/surveymonkey/manage/opening-closing-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/send/email-invitation-collector/; https://help.surveymonkey.com/en/surveymonkey/analyze/filter-rules/; https://help.surveymonkey.com/en/surveymonkey/integrations/tableau-integration/,Can I merge surveys or survey results?; Managing Survey Collector Options; Ways to Send Your Survey; Opening & Closing Surveys; Limiting Responses to a Survey; Allowing Multiple Responses; Clearing or Deleting Responses; Sending Surveys via Email Invitation; Filtering Survey Results; Tableau Integration
how do I limit survey access to certain IP addresses,https://help.surveymonkey.com/en/surveymonkey/send/restricting-survey-access/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/restricting-survey-access/; https://help.surveymonkey.com/en/surveymonkey/send/ip-tracking/; https://help.surveymonkey.com/en/wufoo/build/allow-once-ip/; https://help.surveymonkey.com/en/surveymonkey/account/allow-list/; https://help.surveymonkey.com/en/getfeedback/account/tracking-ip-address/; https://help.surveymonkey.com/en/surveymonkey/create/limiting-answer-choices-2/; https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/policy/irb-guidelines/; https://help.surveymonkey.com/en/surveymonkey/policy/export-control-policy/; https://help.surveymonkey.com/en/surveymonkey/send/respondent-logins/,Restricting Survey Access by Password or IP Address; IP Tracking; Allowing Only One Entry Per IP Address; Allow List Information for SurveyMonkey; Tracking IP Address; Can I limit the number of answer choices a respondent can select?; Limiting Responses to a Survey; SurveyMonkey and IRB Guidelines; Export Control Policy; Can I create a unique login and password for each survey respondent?
how can I ensure respondents are reading the questions,https://help.surveymonkey.com/en/surveymonkey/create/trap-questions/,False,,https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/create/required-questions/; https://help.surveymonkey.com/en/surveymonkey/analyze/respondents-skipping-questions/; https://help.surveymonkey.com/en/surveymonkey/send/embedding-questions/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/; https://help.surveymonkey.com/en/apply/build/text-response/; https://help.surveymonkey.com/en/surveymonkey/send/printing-responses/; https://help.surveymonkey.com/en/surveymonkey/send/tracking-respondents/; https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/,Survey Takers Can’t Complete My Survey; SurveyMonkey Audience Design Guidelines; Making Survey Questions Required; Respondents Skipped Required Questions; Embedding Questions in Email Invitations; Missing Survey Responses; Text Response Question; Can respondents print their responses?; Tracking Respondents; Editing Survey Responses
